cidade,categoria,ofensor
* BRASIL *,Atendimento Digital,LOGO DE CANAIS
* BRASIL *,Atendimento Digital,LORENZ
* BRASIL *,Atendimento Digital,PORTAL CLARO
* BRASIL *,Atendimento Digital,EPG
* BRASIL *,Atendimento Digital,NAGRA
* BRASIL *,Atendimento Digital,TV Gpon
* BRASIL *,Backbone,RedBack
* BRASIL *,Backbone,Switch
* BRASIL *,Backbone,Controller Belair
* BRASIL *,Backbone,Controller Cisco
* BRASIL *,Backbone IP,Jogos Olimpicos
* BRASIL *,Backbone IP,BACKBONE
* BRASIL *,Backbone IP,BACKOBONE
* BRASIL *,Backbone IP,Jogos Olimpicos Rio 2016
* BRASIL *,Canal Indisponivel,NBR
* BRASIL *,Canal Indisponivel,SPORTV11 HD
* BRASIL *,Canal Indisponivel,RECORD HD
* BRASIL *,Canal Indisponivel,TELECINE ACTION
* BRASIL *,Canal Indisponivel,VH1 MEGAHITS
* BRASIL *,Canal Indisponivel,CANAL EMPREENDER
* BRASIL *,Canal Indisponivel,CANAL BRASIL HD
* BRASIL *,Canal Indisponivel,DISNEY JUNIOR
* BRASIL *,Canal Indisponivel,HBO FAMILY HD
* BRASIL *,Canal Indisponivel,NATGEO WILD HD
* BRASIL *,Canal Indisponivel,SPORTV8 HD
* BRASIL *,Canal Indisponivel,NOVA CANÇÃO
* BRASIL *,Canal Indisponivel,PRIME BOX BRAZIL
* BRASIL *,Canal Indisponivel,SYFY
* BRASIL *,Canal Indisponivel,UNIVERSAL CHANNEL
* BRASIL *,Canal Indisponivel,LMC HD
* BRASIL *,Canal Indisponivel,BLOOMBERG
* BRASIL *,Canal Indisponivel,DISCOVERY TURBO HD
* BRASIL *,Canal Indisponivel,BBS HD
* BRASIL *,Canal Indisponivel,GNT HD
* BRASIL *,Canal Indisponivel,MULTIshow_
* BRASIL *,Canal Indisponivel,SPORTV5 HD
* BRASIL *,Canal Indisponivel,CANAL 262 (VALIDA TELCO)
* BRASIL *,Canal Indisponivel,PREMIERE HD2
* BRASIL *,Canal Indisponivel,SPORTV3
* BRASIL *,Canal Indisponivel,TV SENADO
* BRASIL *,Canal Indisponivel,DOG TV
* BRASIL *,Canal Indisponivel,SHOPTIME
* BRASIL *,Canal Indisponivel,BBC WORLD NEWS
* BRASIL *,Canal Indisponivel,REDE DO BEM
* BRASIL *,Canal Indisponivel,DISCOVERY KIDS HD
* BRASIL *,Canal Indisponivel,BOOMERANG HD
* BRASIL *,Canal Indisponivel,GLOOB
* BRASIL *,Canal Indisponivel,MIX TV
* BRASIL *,Canal Indisponivel,PREMIERE HD
* BRASIL *,Canal Indisponivel,LIKE HD
* BRASIL *,Canal Indisponivel,PREMIERE 8
* BRASIL *,Canal Indisponivel,SPORTV HD
* BRASIL *,Canal Indisponivel,TV JUSTIÇA
* BRASIL *,Canal Indisponivel,NET RECOMENDA
* BRASIL *,Canal Indisponivel,BAND SPORTS HD
* BRASIL *,Canal Indisponivel,DISCOVERY HD
* BRASIL *,Canal Indisponivel,GLOBO NEWS
* BRASIL *,Canal Indisponivel,MEGA TV
* BRASIL *,Canal Indisponivel,PREMIERE 5
* BRASIL *,Canal Indisponivel,SPACE
* BRASIL *,Canal Indisponivel,TV BRASIL
* BRASIL *,Canal Indisponivel,AGROMAIS HD
* BRASIL *,Canal Indisponivel,BBC EARTH
* BRASIL *,Canal Indisponivel,BAND HD
* BRASIL *,Canal Indisponivel,DISC. HOME & HEALTH HD
* BRASIL *,Canal Indisponivel,GAZETA
* BRASIL *,Canal Indisponivel,CANAL 220 INTERATIVO
* BRASIL *,Canal Indisponivel,MAX PRIMEe
* BRASIL *,Canal Indisponivel,POLISHOP
* BRASIL *,Canal Indisponivel,DISCOVERY WORLD HD
* BRASIL *,Canal Indisponivel,SIC
* BRASIL *,Canal Indisponivel,TNT HD
* BRASIL *,Canal Indisponivel,ARTE1
* BRASIL *,Canal Indisponivel,PREMIERE 3
* BRASIL *,Canal Indisponivel,CULTURA
* BRASIL *,Canal Indisponivel,FUTURA
* BRASIL *,Canal Indisponivel,MAX HD
* BRASIL *,Canal Indisponivel,History
* BRASIL *,Canal Indisponivel,PARAMOUNT HD
* BRASIL *,Canal Indisponivel,SEXY HOT
* BRASIL *,Canal Indisponivel,TLC
* BRASIL *,Canal Indisponivel,#NOME?
* BRASIL *,Canal Indisponivel,COMBATE
* BRASIL *,Canal Indisponivel,EI MAXX 2
* BRASIL *,Canal Indisponivel,FOX SPORTS HD2
* BRASIL *,Canal Indisponivel,IDEAL TV
* BRASIL *,Canal Indisponivel,CNN BRASIL
* BRASIL *,Canal Indisponivel,NICK JR HD
* BRASIL *,Canal Indisponivel,OFF
* BRASIL *,Canal Indisponivel,SBT HD
* BRASIL *,Canal Indisponivel,AMC
* BRASIL *,Canal Indisponivel,TELECINE TOUCH HD
* BRASIL *,Canal Indisponivel,TRACE BRAZUKA
* BRASIL *,Canal Indisponivel,BM&C
